        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 4.533000+6 2.827500+0 4.534000+6 3.017500+0 4.535000+6 2.989400+0
 4.536000+6 2.813500+0 4.537000+6 2.594600+0 4.538000+6 2.392300+0
 4.539000+6 2.224500+0 4.540000+6 2.090400+0 4.545000+6 1.729800+0
 4.550000+6 1.584600+0 4.555000+6 1.508100+0 4.560000+6 1.459800+0
 4.565000+6 1.425600+0 4.570000+6 1.399400+0 4.575000+6 1.378500+0
 4.580000+6 1.361500+0 4.585000+6 1.348100+0 4.590000+6 1.340100+0
 4.591000+6 1.339584+0 4.592000+6 1.340136+0 4.593000+6 1.341695+0
 4.594000+6 1.344202+0 4.595000+6 1.347600+0 4.596000+6 1.354300+0
 4.597000+6 1.364900+0 4.598000+6 1.381100+0 4.599000+6 1.404400+0
 4.600000+6 1.433600+0 4.601000+6 1.458500+0 4.601500+6 1.463600+0
 4.602000+6 1.461500+0 4.602500+6 1.452500+0 4.603000+6 1.438600+0
 4.604000+6 1.406100+0 4.605000+6 1.377500+0 4.610000+6 1.317300+0
 4.615000+6 1.307200+0 4.620000+6 1.316700+0 4.625000+6 1.356400+0
 4.626000+6 1.371400+0 4.627000+6 1.390300+0 4.628000+6 1.414500+0
 4.629000+6 1.445400+0 4.630000+6 1.485700+0 4.631000+6 1.538400+0
 4.632000+6 1.608100+0 4.633000+6 1.700800+0 4.634000+6 1.822500+0
 4.635000+6 1.976100+0 4.636000+6 2.150500+0 4.637000+6 2.304300+0
 4.638000+6 2.366400+0 4.639000+6 2.291200+0 4.640000+6 2.114900+0
 4.645000+6 1.426900+0 4.650000+6 1.252300+0 4.655000+6 1.193400+0
 4.660000+6 1.164200+0 4.665000+6 1.145300+0 4.670000+6 1.130600+0
 4.675000+6 1.118100+0 4.680000+6 1.106800+0 4.685000+6 1.096100+0
 4.690000+6 1.085900+0 4.695000+6 1.075900+0 4.700000+6 1.066100+0
 4.705000+6 1.056500+0 4.710000+6 1.047100+0 4.715000+6 1.037800+0
 4.720000+6 1.028600+0 4.725000+6 1.019600+0 4.730000+6 1.010700+0
 4.735000+6 1.002100+0 4.740000+6 9.938900-1 4.745000+6 9.860600-1
 4.750000+6 9.788200-1 4.755000+6 9.723500-1 4.760000+6 9.669500-1
 4.765000+6 9.630200-1 4.770000+6 9.610900-1 4.775000+6 9.619400-1
